timestamp;x;y;theta
1582563283407;0.7269;0.5912;0
1582563283427;0.7269;0.5912;0
1582563283448;0.7269;0.5912;0
1582563283468;0.7269;0.5912;0
1582563283487;0.7269;0.5912;0
1582563283507;0.7269;0.5912;0
1582563283527;0.7269;0.5912;0
1582563283547;0.7269;0.5912;0
1582563283567;0.7269;0.5912;0
1582563283587;0.7269;0.5912;0
1582563283607;0.7269;0.5912;0
1582563283627;0.7269;0.5912;0
1582563283648;0.7269;0.5912;0
1582563283668;0.7269;0.5912;0
1582563283687;0.7269;0.5912;0
1582563283708;0.7269;0.5912;0
1582563283727;0.7269;0.5912;0
1582563283748;0.7269;0.5912;0
1582563283768;0.7269;0.5912;0
1582563283787;0.7269;0.5912;0
1582563283808;0.7269;0.5912;0
1582563283828;0.7269;0.5912;0
1582563283849;0.7269;0.5912;0
1582563283867;0.7269;0.5912;0
1582563283889;0.7269;0.5912;0
1582563283909;0.7269;0.5912;0
1582563283927;0.7269;0.5912;0
1582563283947;0.7269;0.5912;0
1582563283967;0.7269;0.5912;0
1582563283989;0.7269;0.5912;0
1582563284009;0.7269;0.5912;0
1582563284027;0.7269;0.5912;0
1582563284048;0.7269;0.5912;0
1582563284068;0.7269;0.5912;0
1582563284090;0.7269;0.5912;0
1582563284109;0.7269;0.5912;0
1582563284128;0.7269;0.5912;0
1582563284147;0.7269;0.5912;0
1582563284168;0.7269;0.5912;0
1582563284191;0.7269;0.5912;0
1582563284209;0.7269;0.5912;0
1582563284227;0.7269;0.5912;0
1582563284247;0.7269;0.5912;0
1582563284273;0.7269;0.5912;0
1582563284288;0.7269;0.5912;0
1582563284308;0.7269;0.5912;0
1582563284327;0.7269;0.5912;0
1582563284347;0.7269;0.5912;0
1582563284367;0.7269;0.5912;0
1582563284388;0.7269;0.5912;0
1582563284407;0.7269;0.5912;0
1582563284428;0.7269;0.5912;0
1582563284447;0.7269;0.5912;0
1582563284468;0.7269;0.5912;0
1582563284488;0.7269;0.5912;0
1582563284507;0.7269;0.5912;0
1582563284527;0.7269;0.5912;0
1582563284547;0.7269;0.5912;0
1582563284567;0.7269;0.5912;0
1582563284588;0.7269;0.5912;0
1582563284608;0.7269;0.5912;0
1582563284627;0.7269;0.5912;0
1582563284647;0.7269;0.5912;0
1582563284666;0.7269;0.5912;0
1582563284688;0.7269;0.5912;0
1582563284708;0.7269;0.5912;0
1582563284727;0.7269;0.5912;0
1582563284747;0.7269;0.5912;0
1582563284768;0.7269;0.5912;0
1582563284788;0.7269;0.5912;0
1582563284808;0.7269;0.5912;0
1582563284828;0.7269;0.5912;0
1582563284851;0.7269;0.5912;0
1582563284868;0.7269;0.5912;0
1582563284889;0.7269;0.5912;0
1582563284909;0.7269;0.5912;0
1582563284927;0.7269;0.5912;0
1582563284948;0.7269;0.5912;0
1582563284967;0.7269;0.5912;0
1582563284989;0.7269;0.5912;0
1582563285009;0.7269;0.5912;0
1582563285027;0.7269;0.5912;0
1582563285047;0.7269;0.5912;0
1582563285067;0.7269;0.5912;0
1582563285089;0.7269;0.5912;0
1582563285109;0.7269;0.5912;0
1582563285127;0.7269;0.5912;0
1582563285148;0.7269;0.5912;0
1582563285168;0.7269;0.5912;0
1582563285189;0.7269;0.5912;0
1582563285209;0.7269;0.5912;0
1582563285227;0.7269;0.5912;0
1582563285248;0.7269;0.5912;0
1582563285273;0.7269;0.5912;0
1582563285291;0.7269;0.5912;0
1582563285308;0.7269;0.5912;0
1582563285328;0.7269;0.5912;0
1582563285348;0.7269;0.5912;0
1582563285367;0.7269;0.5912;0
1582563285388;0.7269;0.5912;0
1582563285407;0.7269;0.5912;0
1582563285428;0.7269;0.5912;0
1582563285447;0.7269;0.5912;0
1582563285467;0.7269;0.5912;0
1582563285488;0.7269;0.5912;0
1582563285507;0.7269;0.5912;0
1582563285528;0.7269;0.5912;0
1582563285547;0.7269;0.5912;0
1582563285567;0.7269;0.5912;0
1582563285588;0.7269;0.5912;0
1582563285607;0.7269;0.5912;0
1582563285628;0.7269;0.5912;0
1582563285648;0.7269;0.5912;0
1582563285667;0.7269;0.5912;0
1582563285688;0.7269;0.5912;0
1582563285708;0.7269;0.5912;0
1582563285727;0.7269;0.5912;0
1582563285747;0.7269;0.5912;0
1582563285767;0.7269;0.5912;0
1582563285787;0.7269;0.5912;0
1582563285807;0.7269;0.5912;0
1582563285828;0.7269;0.5912;0
1582563285852;0.7269;0.5912;0
1582563285868;0.7269;0.5912;0
1582563285889;0.7269;0.5912;0
1582563285909;0.7269;0.5912;0
1582563285927;0.7269;0.5912;0
1582563285948;0.7269;0.5912;0
1582563285967;0.7269;0.5912;0
1582563285989;0.7269;0.5912;0
1582563286009;0.7269;0.5912;0
1582563286027;0.7269;0.5912;0
1582563286048;0.7269;0.5912;0
1582563286068;0.7269;0.5912;0
1582563286089;0.7269;0.5912;0
1582563286109;0.7269;0.5912;0
1582563286127;0.7269;0.5912;0
1582563286147;0.7269;0.5912;0
1582563286167;0.7269;0.5912;0
1582563286189;0.7269;0.5912;0
1582563286209;0.7269;0.5912;0
1582563286227;0.7269;0.5912;0
1582563286248;0.7269;0.5912;0
1582563286274;0.7269;0.5912;0
1582563286290;0.7269;0.5912;0
1582563286308;0.7269;0.5912;0
1582563286328;0.7269;0.5912;0
