timestamp;x;y;theta
1582548584136;-0.7346;-0.8558;0
1582548584152;-0.7346;-0.8558;0
1582548584171;-0.7346;-0.8558;0
1582548584192;-0.7346;-0.8558;0
1582548584213;-0.7346;-0.8558;0
1582548584234;-0.7346;-0.8558;0
1582548584252;-0.7346;-0.8558;0
1582548584270;-0.7346;-0.8558;0
1582548584292;-0.7346;-0.8558;0
1582548584313;-0.7346;-0.8558;0
1582548584334;-0.7346;-0.8558;0
1582548584351;-0.7346;-0.8558;0
1582548584371;-0.7346;-0.8558;0
1582548584391;-0.7346;-0.8558;0
1582548584413;-0.7346;-0.8558;0
1582548584434;-0.7346;-0.8558;0
1582548584451;-0.7346;-0.8558;0
1582548584470;-0.7346;-0.8558;0
1582548584491;-0.7346;-0.8558;0
1582548584511;-0.7346;-0.8558;0
1582548584533;-0.7346;-0.8558;0
1582548584551;-0.7346;-0.8558;0
1582548584572;-0.7346;-0.8558;0
1582548584591;-0.7346;-0.8558;0
1582548584612;-0.7346;-0.8558;0
1582548584632;-0.7346;-0.8558;0
1582548584651;-0.7346;-0.8558;0
1582548584672;-0.7346;-0.8558;0
1582548584691;-0.7346;-0.8558;0
1582548584711;-0.7346;-0.8558;0
1582548584732;-0.7346;-0.8558;0
1582548584751;-0.7346;-0.8558;0
1582548584771;-0.7346;-0.8558;0
1582548584790;-0.7346;-0.8558;0
1582548584831;-0.7346;-0.8558;0
1582548584851;-0.7346;-0.8558;0
1582548584871;-0.7346;-0.8558;0
1582548584892;-0.7346;-0.8558;0
1582548584911;-0.7346;-0.8558;0
1582548584931;-0.7346;-0.8558;0
1582548584951;-0.7346;-0.8558;0
1582548584971;-0.7346;-0.8558;0
1582548584992;-0.7346;-0.8558;0
1582548585011;-0.7346;-0.8558;0
1582548585037;-0.7346;-0.8558;0
1582548585051;-0.7346;-0.8558;0
1582548585072;-0.7346;-0.8558;0
1582548585092;-0.7346;-0.8558;0
1582548585113;-0.7346;-0.8558;0
1582548585135;-0.7346;-0.8558;0
1582548585152;-0.7346;-0.8558;0
1582548585171;-0.7346;-0.8558;0
1582548585191;-0.7346;-0.8558;0
1582548585215;-0.7346;-0.8558;0
1582548585235;-0.7346;-0.8558;0
1582548585253;-0.7346;-0.8558;0
1582548585272;-0.7346;-0.8558;0
1582548585291;-0.7346;-0.8558;0
1582548585313;-0.7346;-0.8558;0
1582548585334;-0.7346;-0.8558;0
1582548585352;-0.7346;-0.8558;0
1582548585372;-0.7346;-0.8558;0
1582548585392;-0.7346;-0.8558;0
1582548585413;-0.7346;-0.8558;0
1582548585434;-0.7346;-0.8558;0
1582548585452;-0.7346;-0.8558;0
1582548585470;-0.7346;-0.8558;0
1582548585491;-0.7346;-0.8558;0
1582548585511;-0.7346;-0.8558;0
1582548585531;-0.7346;-0.8558;0
1582548585551;-0.7346;-0.8558;0
1582548585572;-0.7346;-0.8558;0
1582548585593;-0.7346;-0.8558;0
1582548585612;-0.7346;-0.8558;0
1582548585631;-0.7346;-0.8558;0
1582548585652;-0.7346;-0.8558;0
1582548585672;-0.7346;-0.8558;0
1582548585691;-0.7346;-0.8558;0
1582548585711;-0.7346;-0.8558;0
1582548585732;-0.7346;-0.8558;0
1582548585751;-0.7346;-0.8558;0
1582548585771;-0.7346;-0.8558;0
1582548585791;-0.7346;-0.8558;0
1582548585833;-0.7346;-0.8558;0
1582548585851;-0.7346;-0.8558;0
1582548585871;-0.7346;-0.8558;0
1582548585890;-0.7346;-0.8558;0
1582548585911;-0.7346;-0.8558;0
1582548585932;-0.7346;-0.8558;0
1582548585952;-0.7346;-0.8558;0
1582548585972;-0.7346;-0.8558;0
1582548585992;-0.7346;-0.8558;0
1582548586012;-0.7346;-0.8558;0
1582548586037;-0.7346;-0.8558;0.8800000000000002
1582548586051;-0.7346;-0.8558;1.760000000000001
1582548586071;-0.7346;-0.8558;2.6400000000000015
1582548586091;-0.7346;-0.8558;3.5200000000000022
1582548586113;-0.7346;-0.8558;4.399999999999999
1582548586135;-0.7346;-0.8558;5.2799999999999905
1582548586152;-0.7346;-0.8558;6.159999999999982
1582548586171;-0.7346;-0.8558;7.039999999999974
1582548586191;-0.7346;-0.8558;7.919999999999966
1582548586211;-0.7346;-0.8558;8.799999999999974
1582548586232;-0.7346;-0.8558;9.679999999999984
1582548586253;-0.7346;-0.8558;10.559999999999993
1582548586272;-0.7346;-0.8558;11.440000000000003
1582548586292;-0.7346;-0.8558;12.320000000000013
1582548586311;-0.7346;-0.8558;13.200000000000022
1582548586331;-0.7346;-0.8558;14.080000000000032
1582548586352;-0.7346;-0.8558;14.960000000000042
1582548586371;-0.7346;-0.8558;15.840000000000051
1582548586391;-0.7346;-0.8558;16.72000000000006
1582548586414;-0.7346;-0.8558;17.60000000000007
1582548586435;-0.7346;-0.8558;18.48000000000008
1582548586452;-0.7346;-0.8558;19.36000000000009
1582548586471;-0.7346;-0.8558;20.240000000000098
